Station,Category,Zone,LineCount,TotPlatforms,WeekdayEnEx,SaturdayEnEx,SundayEnEx,TotalEnExCount,Year
King's Cross St. Pancras,Gateway,1,6,8,280514,211390,169868,91.98,2014
King's Cross St. Pancras,Gateway,1,6,8,277401,231951,189307,93.41,2015
King's Cross St. Pancras,Gateway,1,6,8,285194,234012,181493,95.03,2016
King's Cross St. Pancras,Gateway,1,6,8,296014,296014,187927,92.62,2017
King's Cross St. Pancras,Gateway,1,6,8,287140,220844,190339,87.84,2018
King's Cross St. Pancras,Gateway,1,6,8,281920,234453,189817,88.27,2019
King's Cross St. Pancras,Gateway,1,6,8,38323,20991,18645,18.84,2020
King's Cross St. Pancras,Gateway,1,6,8,158618,178627,141229,36.73,2021
Kingsbury,Local,4,1,2,13343,7951,5572,4.12,2013
Kingsbury,Local,4,1,2,14786,9044,6369,4.59,2014
Kingsbury,Local,4,1,2,16040,9732,6857,4.97,2015
Kingsbury,Local,4,1,2,16340,10625,7390,5.12,2016
Kingsbury,Local,4,1,2,16531,16531,7872,4.96,2017
Kingsbury,Local,4,1,2,15820,9684,7376,4.64,2018
Kingsbury,Local,4,1,2,15159,10034,7306,4.55,2019
Kingsbury,Local,4,1,2,6774,3644,2273,3.24,2020
Kingsbury,Local,4,1,2,10131,7038,4911,2.07,2021
Leyton,Local,3,1,2,41795,31193,22632,13.53,2013
Leyton,Local,3,1,2,42665,34577,25000,14.07,2014
Leyton,Local,3,1,2,43531,35306,26394,14.41,2015
Leyton,Local,3,1,2,43268,35485,26086,14.33,2016
Leyton,Local,3,1,2,40692,40692,24276,12.75,2017
Leyton,Local,3,1,2,36712,30842,23024,11.39,2018
Leyton,Local,3,1,2,35241,32478,22653,11.26,2019
Leyton,Local,3,1,2,14628,9849,6889,7.33,2020
Leyton,Local,3,1,2,24566,22426,15018,5.29,2021
Liverpool Street,Gateway,1,4,4,217593,121704,110406,67.89,2013
Liverpool Street,Gateway,1,4,4,233552,137726,125611,73.66,2014
Liverpool Street,Gateway,1,4,4,233796,131776,122959,73.26,2015
Liverpool Street,Gateway,1,4,4,226750,134623,122815,71.61,2016
Liverpool Street,Gateway,1,4,4,224125,224125,84364,64.5,2017
Liverpool Street,Gateway,1,4,4,232300,133778,83746,66.14,2018
Liverpool Street,Gateway,1,4,4,230148,139891,89905,67.2,2019
Liverpool Street,Gateway,1,4,4,34046,17766,11972,16.27,2020
Liverpool Street,Gateway,1,4,4,123826,112492,73730,26.6,2021
Maida Vale,Metro,2,1,2,10456,7487,5307,3.35,2013
Maida Vale,Metro,2,1,2,10698,7819,5685,3.45,2014
Maida Vale,Metro,2,1,2,10497,7701,5535,3.38,2015
Maida Vale,Metro,2,1,2,10612,7632,5549,3.41,2016
Maida Vale,Metro,2,1,2,10298,10298,5263,3.12,2017
Maida Vale,Metro,2,1,2,10452,7520,5271,3.15,2018
Maida Vale,Metro,2,1,2,10845,7715,5430,3.3,2019
Maida Vale,Metro,2,1,2,3136,1922,1284,1.54,2020
Maida Vale,Metro,2,1,2,6748,5699,3984,1.43,2021
Morden,Metro,4,1,4,24584,15408,11447,7.7,2013
Morden,Metro,4,1,4,27348,18243,12707,8.62,2014
Morden,Metro,4,1,4,29334,19665,14093,9.28,2015
Morden,Metro,4,1,4,31696,21703,15399,10.06,2016
Morden,Metro,4,1,4,32644,32644,17015,9.87,2017
Morden,Metro,4,1,4,32450,22120,17000,9.69,2018
Morden,Metro,4,1,4,32205,22980,16912,9.82,2019
Morden,Metro,4,1,4,11235,6357,4865,5.49,2020
Morden,Metro,4,1,4,20688,18029,12395,4.42,2021
North Wembley,Local,4,1,2,5233,3483,2411,1.65,2013
North Wembley,Local,4,1,2,5238,3787,2344,1.66,2014
North Wembley,Local,4,1,2,5810,3852,2822,1.84,2015
North Wembley,Local,4,1,2,5646,3911,2703,1.79,2016
North Wembley,Local,4,1,2,5610,5610,2736,1.68,2017
North Wembley,Local,4,1,2,5370,3467,2516,1.59,2018
North Wembley,Local,4,1,2,5241,3424,2498,1.57,2019
North Wembley,Local,4,1,2,2586,1361,772,1.23,2020
North Wembley,Local,4,1,2,3843,2571,1795,0.78,2021
Northwood,Local,6,1,2,7710,3853,2195,2.28,2013
Northwood,Local,6,1,2,8177,4393,2808,2.46,2014
Northwood,Local,6,1,2,8183,4552,2860,2.48,2015
Northwood,Local,6,1,2,8290,4434,2727,2.49,2016
Northwood,Local,6,1,2,10256,10256,3120,2.9,2017
Northwood,Local,6,1,2,9257,5100,3237,2.63,2018
Northwood,Local,6,1,2,9531,4915,3185,2.74,2019
Northwood,Local,6,1,2,3312,1224,878,1.52,2020
Northwood,Local,6,1,2,6440,3947,2440,1.27,2021
Piccadilly Circus,Destination,1,2,4,116156,144632,81281,41.7,2013
Piccadilly Circus,Destination,1,2,4,118483,149469,87860,42.93,2014
Piccadilly Circus,Destination,1,2,4,117857,148518,89086,42.8,2015
Piccadilly Circus,Destination,1,2,4,113482,142863,87317,41.29,2016
Piccadilly Circus,Destination,1,2,4,116225,116225,76926,38.57,2017
Piccadilly Circus,Destination,1,2,4,112901,126484,83015,36,2018
Piccadilly Circus,Destination,1,2,4,117447,142589,82823,38.4,2019
Piccadilly Circus,Destination,1,2,4,7925,6225,5291,4.18,2020
Piccadilly Circus,Destination,1,2,4,59014,83239,50269,14.14,2021
Rayners Lane,Local,5,2,2,13328,7800,5155,4.08,2013
Rayners Lane,Local,5,2,2,14183,8376,5888,4.37,2014
Rayners Lane,Local,5,2,2,14672,8577,6015,4.51,2015
Rayners Lane,Local,5,2,2,14592,8409,5626,4.46,2016
Rayners Lane,Local,5,2,2,13977,13977,5865,4.11,2017
Rayners Lane,Local,5,2,2,13363,8378,5745,3.91,2018
Rayners Lane,Local,5,2,2,14019,8561,5966,4.16,2019
Rayners Lane,Local,5,2,2,4860,2644,1772,2.34,2020
Rayners Lane,Local,5,2,2,8579,6645,4305,1.78,2021
Richmond,Local,4,1,3,24380,21237,11542,7.95,2013
Richmond,Local,4,1,3,25164,25031,13229,8.45,2014
Richmond,Local,4,1,3,25834,25712,13361,8.66,2015
Richmond,Local,4,1,3,23220,26957,14165,8.11,2016
Richmond,Local,4,1,3,24071,24071,14331,7.88,2017
Richmond,Local,4,1,3,23534,33051,14400,8,2018
Richmond,Local,4,1,3,24450,26874,15173,8.08,2019
Richmond,Local,4,1,3,4116,2866,3066,2.17,2020
Richmond,Local,4,1,3,9712,8551,9447,2.2,2021
Ruislip,Local,6,2,2,5584,3478,2030,1.71,2013
Ruislip,Local,6,2,2,6083,3854,2652,1.9,2014
Ruislip,Local,6,2,2,6100,4093,2491,1.9,2015
Ruislip,Local,6,2,2,6261,4169,2511,1.95,2016
Ruislip,Local,6,2,2,6373,6373,2506,1.89,2017
Ruislip,Local,6,2,2,6532,4472,2650,1.93,2018
Ruislip,Local,6,2,2,6512,4153,2560,1.93,2019
Ruislip,Local,6,2,2,1988,1062,664,0.95,2020
Ruislip,Local,6,2,2,3990,3187,1742,0.82,2021
Stanmore,Local,5,1,3,11325,7055,5268,3.54,2013
Stanmore,Local,5,1,3,12238,8614,5884,3.89,2014
Stanmore,Local,5,1,3,12381,7997,7211,3.97,2015
Stanmore,Local,5,1,3,12643,8836,6482,4.04,2016
Stanmore,Local,5,1,3,12289,12289,6101,3.72,2017
Stanmore,Local,5,1,3,12215,9896,7368,3.76,2018
Stanmore,Local,5,1,3,12645,9731,6258,3.85,2019
Stanmore,Local,5,1,3,4276,2042,1443,2.02,2020
Stanmore,Local,5,1,3,8041,7194,4957,1.73,2021
Stonebridge Park,Local,3,1,2,8245,4904,3447,2.54,2013
Stonebridge Park,Local,3,1,2,8466,5182,3378,2.61,2014
Stonebridge Park,Local,3,1,2,8888,5081,2746,2.67,2015
Stonebridge Park,Local,3,1,2,8175,5146,3291,2.53,2016
Stonebridge Park,Local,3,1,2,8217,8217,3381,2.41,2017
Stonebridge Park,Local,3,1,2,8251,4814,3353,2.39,2018
Stonebridge Park,Local,3,1,2,8266,4711,3322,2.43,2019
Stonebridge Park,Local,3,1,2,4209,2170,1173,1.98,2020
Stonebridge Park,Local,3,1,2,6175,3967,2632,1.24,2021
Stratford,Destination,3,2,5,157212,162083,106786,54.5,2013
Stratford,Destination,3,2,5,169213,180595,120449,59.31,2014
Stratford,Destination,3,2,5,173115,192720,129205,61.44,2015
Stratford,Destination,3,2,5,190404,198238,145198,67.05,2016
Stratford,Destination,3,2,5,180027,180027,119153,58.59,2017
Stratford,Destination,3,2,5,197426,172718,133704,61.55,2018
Stratford,Destination,3,2,5,198848,208667,137860,64.85,2019
Stratford,Destination,3,2,5,46861,40652,31782,25.07,2020
Stratford,Destination,3,2,5,128136,144196,96733,29.11,2021
Tottenham Court Road,Destination,1,2,6,117469,95145,57561,38.06,2013
Tottenham Court Road,Destination,1,2,6,112000,95292,58832,36.76,2014
Tottenham Court Road,Destination,1,2,6,49798,40948,25790,16.25,2015
